salesHistoryKey,neighborhood,street name,salesTypeDsc,sale amount,saleDate,Days between last sale,Previous saleDate,cumsum sale amount,margin sale amount,amount_pct_change
720387201,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,0.0,2019-04-11 00:00:00+00:00,17700000.0,0.0,
719411977,505020,1615 N KENILWORTH ST,,1401000,2024-04-04 00:00:00+00:00,,,1401000.0,,
720395805,501022,1615 N MCKINLEY RD,D-Resub/Declaration,0,2022-04-12 00:00:00+00:00,,,0.0,,
720316521,212002,1615 N QUEEN ST M202,,1340000,2019-06-05 00:00:00+00:00,,,1340000.0,,
720316633,212002,1615 N QUEEN ST M203,,1125000,2021-01-27 00:00:00+00:00,,,1125000.0,,
720316637,212002,1615 N QUEEN ST M203,2-Sale or Gift to Relative,0,2024-11-20 00:00:00+00:00,1393.0,2021-01-27 00:00:00+00:00,1125000.0,-1125000.0,-100.00%
720316553,212002,1615 N QUEEN ST M204,,1265000,2021-06-24 00:00:00+00:00,,,1265000.0,,
720316557,212002,1615 N QUEEN ST M204,5-Not Market Sale,0,2022-10-07 00:00:00+00:00,470.0,2021-06-24 00:00:00+00:00,1265000.0,-1265000.0,-100.00%
720316561,212002,1615 N QUEEN ST M204,,1263000,2024-02-28 00:00:00+00:00,509.0,2022-10-07 00:00:00+00:00,2528000.0,1263000.0,
720316669,212002,1615 N QUEEN ST M205,,1000000,2019-11-01 00:00:00+00:00,,,1000000.0,,
720316705,212002,1615 N QUEEN ST M207,,1200000,2019-09-24 00:00:00+00:00,,,1200000.0,,
720316709,212002,1615 N QUEEN ST M207,5-Not Market Sale,0,2020-11-05 00:00:00+00:00,408.0,2019-09-24 00:00:00+00:00,1200000.0,-1200000.0,-100.00%
720316773,212002,1615 N QUEEN ST M301,,1235000,2022-02-25 00:00:00+00:00,,,1235000.0,,
720316777,212002,1615 N QUEEN ST M301,,1333500,2024-11-12 00:00:00+00:00,991.0,2022-02-25 00:00:00+00:00,2568500.0,98500.0,7.98%
720316809,212002,1615 N QUEEN ST M302,W-Will / R.O.S/L O H,0,2021-01-31 00:00:00+00:00,,,0.0,,
720316813,212002,1615 N QUEEN ST M302,5-Not Market Sale,0,2023-04-06 00:00:00+00:00,795.0,2021-01-31 00:00:00+00:00,0.0,0.0,
720316845,212002,1615 N QUEEN ST M303,,1025000,2021-11-24 00:00:00+00:00,,,1025000.0,,
720316849,212002,1615 N QUEEN ST M303,2-Sale or Gift to Relative,0,2023-12-01 00:00:00+00:00,737.0,2021-11-24 00:00:00+00:00,1025000.0,-1025000.0,-100.00%
720316905,212002,1615 N QUEEN ST M305,C-Condo Parking Space,0,2021-02-05 00:00:00+00:00,,,0.0,,
720316909,212002,1615 N QUEEN ST M305,,870000,2021-09-03 00:00:00+00:00,210.0,2021-02-05 00:00:00+00:00,870000.0,870000.0,
720317045,212002,1615 N QUEEN ST M401,,1253000,2022-10-31 00:00:00+00:00,,,1253000.0,,
720317193,212002,1615 N QUEEN ST M404,,1000000,2019-04-04 00:00:00+00:00,,,1000000.0,,
720317197,212002,1615 N QUEEN ST M404,C-Condo Parking Space,0,2021-02-05 00:00:00+00:00,673.0,2019-04-04 00:00:00+00:00,1000000.0,-1000000.0,-100.00%
720317229,212002,1615 N QUEEN ST M406,C-Condo Parking Space,0,2021-02-05 00:00:00+00:00,,,0.0,,
720317233,212002,1615 N QUEEN ST M406,,1635000,2021-12-08 00:00:00+00:00,306.0,2021-02-05 00:00:00+00:00,1635000.0,1635000.0,
720317261,212002,1615 N QUEEN ST M408,,1480000,2019-04-24 00:00:00+00:00,,,1480000.0,,
720317265,212002,1615 N QUEEN ST M408,C-Condo Parking Space,0,2021-02-05 00:00:00+00:00,653.0,2019-04-24 00:00:00+00:00,1480000.0,-1480000.0,-100.00%
720317269,212002,1615 N QUEEN ST M408,C-Condo Parking Space,0,2023-07-13 00:00:00+00:00,888.0,2021-02-05 00:00:00+00:00,1480000.0,0.0,
720317329,212002,1615 N QUEEN ST M502,,1200000,2023-08-17 00:00:00+00:00,,,1200000.0,,
720317333,212002,1615 N QUEEN ST M502,A-Correction Deed,0,2023-08-17 00:00:00+00:00,0.0,2023-08-17 00:00:00+00:00,1200000.0,-1200000.0,-100.00%
720317457,212002,1615 N QUEEN ST M601,,1530000,2021-02-26 00:00:00+00:00,,,1530000.0,,
720317553,212002,1615 N QUEEN ST M604,"1-Foreclosure, Auction, Bankru",372350,2019-09-19 00:00:00+00:00,,,372350.0,,
720317557,212002,1615 N QUEEN ST M604,5-Not Market Sale,0,2019-12-02 00:00:00+00:00,74.0,2019-09-19 00:00:00+00:00,372350.0,-372350.0,-100.00%
720317561,212002,1615 N QUEEN ST M604,A-Correction Deed,0,2020-05-26 00:00:00+00:00,176.0,2019-12-02 00:00:00+00:00,372350.0,0.0,
