street name,max_sale_amount,avg_sale_amount,num_of_sales,total_sale_amount
1010 N ROOSEVELT ST,800000,800000.0,1,800000
1010 S TAYLOR CT,832075,208018.75,4,832075
1011 ARLINGTON BLVD,255000,127500.0,2,255000
1011 ARLINGTON BLVD 1003,110000,110000.0,1,110000
1011 ARLINGTON BLVD 1004,110000,110000.0,1,110000
1011 ARLINGTON BLVD 1005,157500,157500.0,1,157500
1011 ARLINGTON BLVD 1007,207000,207000.0,1,207000
1011 ARLINGTON BLVD 1018,62454,62454.0,1,62454
1011 ARLINGTON BLVD 1024,0,0.0,1,0
1011 ARLINGTON BLVD 1030,280000,140000.0,2,280000
1011 ARLINGTON BLVD 1031,266500,133250.0,2,266500
1011 ARLINGTON BLVD 1036,132900,132900.0,1,132900
1011 ARLINGTON BLVD 1042,278000,278000.0,1,278000
1011 ARLINGTON BLVD 1044,155000,155000.0,1,155000
1011 ARLINGTON BLVD 1047,117000,117000.0,1,117000
1011 ARLINGTON BLVD 1105,160000,160000.0,1,160000
1011 ARLINGTON BLVD 1106,560000,560000.0,1,560000
1011 ARLINGTON BLVD 1107,0,0.0,1,0
1011 ARLINGTON BLVD 1108,200000,100000.0,2,200000
1011 ARLINGTON BLVD 1109,415000,415000.0,1,415000
1011 ARLINGTON BLVD 1116,308000,308000.0,1,308000
1011 ARLINGTON BLVD 208,172500,172500.0,1,172500
1011 ARLINGTON BLVD 209,127500,127500.0,1,127500
1011 ARLINGTON BLVD 210,128500,128500.0,1,128500
1011 ARLINGTON BLVD 212,145790,145790.0,1,145790
1011 ARLINGTON BLVD 225,160000,160000.0,1,160000
1011 ARLINGTON BLVD 228,119225,59612.5,2,119225
1011 ARLINGTON BLVD 304,457300,228650.0,2,457300
1011 ARLINGTON BLVD 305,100000,100000.0,1,100000
1011 ARLINGTON BLVD 405,132000,132000.0,1,132000
1011 ARLINGTON BLVD 406,190000,190000.0,1,190000
1011 ARLINGTON BLVD 414,136000,136000.0,1,136000
1011 ARLINGTON BLVD 420,0,0.0,1,0
1011 ARLINGTON BLVD 423,0,0.0,2,0
1011 ARLINGTON BLVD 427,0,0.0,1,0
1011 ARLINGTON BLVD 428,142000,142000.0,1,142000
1011 ARLINGTON BLVD 431,275000,275000.0,1,275000
1011 ARLINGTON BLVD 434,177500,88750.0,2,177500
1011 ARLINGTON BLVD 435,129000,129000.0,1,129000
1011 ARLINGTON BLVD 442,182500,182500.0,1,182500
1011 ARLINGTON BLVD 445,119000,119000.0,1,119000
1011 ARLINGTON BLVD 503,152100,76050.0,2,152100
1011 ARLINGTON BLVD 504,115000,115000.0,1,115000
1011 ARLINGTON BLVD 507,175000,175000.0,1,175000
1011 ARLINGTON BLVD 510,116500,116500.0,1,116500
1011 ARLINGTON BLVD 512,150000,150000.0,1,150000
1011 ARLINGTON BLVD 513,130000,130000.0,1,130000
1011 ARLINGTON BLVD 514,119000,119000.0,1,119000
1011 ARLINGTON BLVD 516,113500,56750.0,2,113500
1011 ARLINGTON BLVD 522,170000,170000.0,1,170000
1011 ARLINGTON BLVD 523,146500,146500.0,1,146500
1011 ARLINGTON BLVD 524,144000,144000.0,1,144000
1011 ARLINGTON BLVD 526,158400,158400.0,1,158400
1011 ARLINGTON BLVD 527,140000,140000.0,1,140000
1011 ARLINGTON BLVD 528,140000,140000.0,1,140000
1011 ARLINGTON BLVD 530,412000,412000.0,1,412000
1011 ARLINGTON BLVD 542,0,0.0,1,0
1011 ARLINGTON BLVD 544,0,0.0,1,0
1011 ARLINGTON BLVD 548,110750,110750.0,1,110750
1011 ARLINGTON BLVD 601,0,0.0,1,0
1011 ARLINGTON BLVD 603,156000,156000.0,1,156000
1011 ARLINGTON BLVD 604,0,0.0,1,0
1011 ARLINGTON BLVD 614,71500,35750.0,2,71500
1011 ARLINGTON BLVD 617,165000,165000.0,1,165000
1011 ARLINGTON BLVD 619,241000,241000.0,1,241000
1011 ARLINGTON BLVD 621,87550,43775.0,2,87550
1011 ARLINGTON BLVD 622,248000,82666.66666666667,3,248000
1011 ARLINGTON BLVD 625,0,0.0,1,0
1011 ARLINGTON BLVD 628,0,0.0,1,0
1011 ARLINGTON BLVD 629,175000,175000.0,1,175000
1011 ARLINGTON BLVD 630,323259,323259.0,1,323259
1011 ARLINGTON BLVD 640,135000,135000.0,1,135000
1011 ARLINGTON BLVD 646,128000,128000.0,1,128000
1011 ARLINGTON BLVD 648,138500,138500.0,1,138500
1011 ARLINGTON BLVD 710,129000,129000.0,1,129000
1011 ARLINGTON BLVD 719,475000,237500.0,2,475000
1011 ARLINGTON BLVD 723,140000,140000.0,1,140000
1011 ARLINGTON BLVD 728,128000,128000.0,1,128000
1011 ARLINGTON BLVD 732,269000,134500.0,2,269000
1011 ARLINGTON BLVD 738,148000,148000.0,1,148000
1011 ARLINGTON BLVD 742,300000,300000.0,1,300000
1011 ARLINGTON BLVD 747,130000,130000.0,1,130000
1011 ARLINGTON BLVD 748,145000,145000.0,1,145000
1011 ARLINGTON BLVD 814,176500,58833.333333333336,3,176500
1011 ARLINGTON BLVD 819,250000,250000.0,1,250000
1011 ARLINGTON BLVD 820,0,0.0,1,0
1011 ARLINGTON BLVD 827,150000,150000.0,1,150000
1011 ARLINGTON BLVD 830,228000,228000.0,1,228000
1011 ARLINGTON BLVD 831,535000,267500.0,2,535000
1011 ARLINGTON BLVD 832,182000,91000.0,2,182000
1011 ARLINGTON BLVD 838,123000,123000.0,1,123000
1011 ARLINGTON BLVD 840,132500,132500.0,1,132500
1011 ARLINGTON BLVD 841,0,0.0,2,0
1011 ARLINGTON BLVD 844,141000,141000.0,1,141000
1011 ARLINGTON BLVD 907,131000,131000.0,1,131000
1011 ARLINGTON BLVD 910,107000,107000.0,1,107000
1011 ARLINGTON BLVD 911,144000,144000.0,1,144000
1011 ARLINGTON BLVD 934,152000,152000.0,1,152000
1011 ARLINGTON BLVD 937,110000,55000.0,2,110000
1011 ARLINGTON BLVD 940,160000,160000.0,1,160000
1011 ARLINGTON BLVD 941,189900,189900.0,1,189900
1011 ARLINGTON BLVD 948,150000,150000.0,1,150000
1011 ARLINGTON BLVD S-313,0,0.0,1,0
1011 ARLINGTON BLVD S-314,0,0.0,1,0
1011 ARLINGTON BLVD S-915,120000,120000.0,1,120000
1011 N EDGEWOOD ST,0,0.0,1,0
1011 N KENSINGTON ST,2030000,1015000.0,2,2030000
1011 S TAYLOR CT,850177,212544.25,4,850177
1012 26th ST S,800000,400000.0,2,800000
1012 N CLEVELAND ST,0,0.0,1,0
1012 N DANIEL ST,700000,233333.33333333334,3,700000
1012 N GEORGE MASON DR,1514400,757200.0,2,1514400
1012 N KENNEBEC ST,1177000,1177000.0,1,1177000
1012 S DINWIDDIE ST,550000,275000.0,2,550000
1012 S TAYLOR CT,800187,200046.75,4,800187
1013 17th ST S,815000,815000.0,1,815000
1013 26th ST S,1205000,1205000.0,1,1205000
1013 N KENSINGTON ST,1080000,1080000.0,1,1080000
1013 N LIBERTY ST,825000,825000.0,1,825000
1013 N LIVINGSTON ST,1130767,1130767.0,1,1130767
1013 N POWHATAN ST,0,0.0,1,0
1013 N QUINTANA ST,1020000,1020000.0,1,1020000
1013 S TAYLOR CT,1903293,380658.6,5,1903293
1014 17th ST S,0,0.0,1,0
1014 N CLEVELAND ST,969000,969000.0,1,969000
1014 N HARRISON ST,899000,449500.0,2,899000
1014 N MONROE ST,1895000,947500.0,2,1895000
1014 N QUINTANA ST,1600000,800000.0,2,1600000
1014 S TAYLOR CT,794063,198515.75,4,794063
1015 19th ST S,0,0.0,1,0
1015 20th ST S,830000,830000.0,1,830000
1015 21st ST S,1600000,1600000.0,1,1600000
1015 N KENSINGTON ST,1060000,1060000.0,1,1060000
1015 S TAYLOR CT,798903,199725.75,4,798903
